name,rom_name,en_name
,,Shania Twain
,,Shawn Mendes
,,Shin
,,Shirley Chen
,,Silence Wang
,,SKY WU
,,Skylar Grey
,,Sơn Tùng M-TP
,,Spice Girls
,,Stefanie Sun
,,StellaVee
,,Stevie Wonder
,,Sukhwinder Singh
,,TANK 呂建忠
,,Tanya Chua
,,Taylor Swift
,,Teresa Teng
,,TFBOYS
,,The Band Perry
,,The Chainsmokers
,,The Weeknd
,,Tien Tien
,,Tiger Hu
,,Tingzhi.Hz
,,Tones and I
,,Waa Wei
,,Wakin Chau
,,Wang Jun Qi
,,WeiBird
,,Will Pan
,,Wu Bai
,,Wu Jia Hui
,,Xiao Yu
,,Yida Huang
,,Yoga Lin
,,Yokez
,,Zerlene 鄭潔伶
,,Zhang Yu Sheng
,,Zhang Zhen Yue
,,Zubir Said
,,任然
,,克麗絲叮
,,冷漠
,,劉人語
,,吳青峰
,,寶石Gem
,,巫啟賢
,,李季美
,,林凡
,,梁文福
,,梦然
,,棉子
,,湯寶如
,,王貳浪
,,王靖雯不胖
,,胡66
,,許嵩
,,趙詠華
,,那英
,,阿冗
,,阿涵
,,陳立農
,,陳雪燃
,,颜黎明
,,A-Lin
,,A-Mei Chang
,,Aaron Kwok
,,Ada Zhuang
,,AGA
,,Beyond
,,Bruno Mars
,,Coldplay
,,Crowd Lu
,,Dave Wong
,,David Tao
,,Della
,,Eason Chan
,,Ekin Cheng
,,Elton John
,,Eric Chou
,,F.I.R.
,,Faye Wong
,,Fish Leong
,,G.E.M.
,,Gary Chaw
,,Harlem Yu
,,HONNE
,,Isaac Yong
,,Jacky Cheung
,,Jay Chou
,,Jeff Chang
,,JJ Lin
,,John Legend
,,Joker Xue
,,Jolin Tsai
,,Karen Mok
,,Katy Perry
,,Khalil Fong
,,Kristen Bell
,,Landy Wen
,,Leehom Wang
,,Mavis Hee
,,Mayday
,,Min
,,Natalie Imbruglia
,,Power Station
,,Rainie Yang
,,Rick Astley
,,Ronghao Li
,,S.H.E
,,Sam Lee
,,Sammi Cheng
,,Sandy Lam
,,Stefanie Sun
,,Tanya Chua
,,Teresa Teng
,,The Weeknd
,,Tiger Hu
,,Wu Bai
,,Wu Jia Hui
,,Yoga Lin
,,Yokez
,,Zhang Yu Sheng
,,Zhang Zhen Yue
,,任然
,,許嵩
,,颜黎明
,,A-Lin
,,A-Mei Chang
,,Aaron Kwok
,,Beyond
,,Bruno Mars
,,Coldplay
,,Crowd Lu
,,David Tao
,,Eason Chan
,,Elton John
,,Eric Chou
,,Faye Wong
,,Fish Leong
,,G.E.M.
,,Gary Chaw
,,Isaac Yong
,,Jacky Cheung
,,Jay Chou
,,JJ Lin
,,Jolin Tsai
,,Karen Mok
,,Khalil Fong
,,Leehom Wang
,,Mavis Hee
,,Mayday
,,Power Station
,,Rainie Yang
,,Ronghao Li
,,Stefanie Sun
,,Tanya Chua
,,Teresa Teng
,,The Weeknd
,,Yoga Lin
,,許嵩
,,A-Mei Chang
,,Aaron Kwok
,,Beyond
,,Coldplay
,,David Tao
,,Eason Chan
,,Eric Chou
,,Faye Wong
,,G.E.M.
,,Jacky Cheung
,,Jay Chou
,,JJ Lin
,,Khalil Fong
,,Leehom Wang
,,Mavis Hee
,,Mayday
,,Ronghao Li
,,Stefanie Sun
,,Teresa Teng
,,Yoga Lin
,,Aaron Kwok
,,Coldplay
,,David Tao
,,Eason Chan
,,Faye Wong
,,G.E.M.
,,Jacky Cheung
,,Jay Chou
,,JJ Lin
,,Leehom Wang
,,Mayday
,,Ronghao Li
,,Aaron Kwok
,,David Tao
,,Faye Wong
,,Jacky Cheung
,,Jay Chou
,,JJ Lin
,,Leehom Wang
,,Mayday
,,Ronghao Li
,,Aaron Kwok
,,David Tao
,,Faye Wong
,,Jacky Cheung
,,Jay Chou
,,JJ Lin
,,Leehom Wang
,,Mayday
,,Ronghao Li
,,831
,,黄宏墨
